title,company,location,link
Native Korean Speaking Software QA Test Engineer,TikTok,서울 종로3가역,https://kr.indeed.com/viewjob?jk=c0c6a53781018daf
HANA Test Engineer,SAP,서울,https://kr.indeed.com/viewjob?jk=64d227788d2d9eed
2021 AVIKUS 연구개발부문 신입 및 경력사원,현대중공업그룹,서울,https://kr.indeed.com/viewjob?jk=c831ea201f7dc146
데이터 분석가/사이언티스트(신입/인턴 가능),쏘카,대한민국,https://kr.indeed.com/viewjob?jk=55584c627df1acaa
"빅데이터, Python 외 신입 정규직",주)씽크풀,서울 영등포구,https://kr.indeed.com/viewjob?jk=f91bdb1160ad64d2
[상시 ] Data Scientist (대리급/과-차장급/정규직),라이나생명보험,서울 종로구,https://kr.indeed.com/viewjob?jk=e9ac1a8708b8e784
DX(Digital Transformation)분야 경력사원 (법인Staff),LG화학,서울특별시,https://kr.indeed.com/viewjob?jk=7c3a3f4b0dd0d04a
[정규직] 금융 신규사업(AI예측기반 Data사업) 데이터 분석 전문인력,SK 씨앤씨,서울,https://kr.indeed.com/viewjob?jk=996aed4fb9a166e0
Quantitative Researcher,자산운용: Quantitative Research,서울,https://kr.indeed.com/viewjob?jk=7453bfdc26273cd9
Machine Learning Researcher (Intern),Qualcomm Korea YH,서울,https://kr.indeed.com/viewjob?jk=0f7993638aee82bd
"[Search] 파파고 머신러닝(자연어처리, 컴퓨터비전) 엔지니어 (신입)",네이버,서울,https://kr.indeed.com/viewjob?jk=c6f624615d1e3da4
리서치 RA(Research Assistant),하이투자증권,서울 영등포구,https://kr.indeed.com/viewjob?jk=887fc6ea7b3bee6d
[Search] Knowledge Base Applications (신입),네이버,서울,https://kr.indeed.com/viewjob?jk=23dfc13905f7fcc0
Data analytics & Ad Operations manager,Dentsu Aegis Network,서울,https://kr.indeed.com/viewjob?jk=f82b428f076301bc
프랭클린템플턴투신운용 Junior Trader (Quant base 필수),프랭클린템플턴투신,대한민국,https://kr.indeed.com/viewjob?jk=4adac8923476d038
[개발]CI/CD 엔지니어(정규직),위메프,대한민국,https://kr.indeed.com/viewjob?jk=3d0cc83899a9b37f
[국비무료과정]Java·Python기반 빅데이터 분석 개발자 양성과정,중앙에이치티에이,서울 종로구,https://kr.indeed.com/viewjob?jk=c7cc9b2859f1791c
Data Analyst,레이니스트,서울,https://kr.indeed.com/viewjob?jk=e5ca14de265f7fc9
11번가 System Engineer 분야,십일번가,서울 중구,https://kr.indeed.com/viewjob?jk=c24c0a4d4c4d3f5a
"데이터마이닝, 데이터사이언스 신입 인턴",성공하는공장,서울 강남구,https://kr.indeed.com/viewjob?jk=e0bd768490336a11
2021 IMB Dx 각 부분 직원,아이엠비디엑스,서울 금천구,https://kr.indeed.com/viewjob?jk=27dcadc82a202480
솔루션 개발자,고도소프트,서울 구로구,https://kr.indeed.com/viewjob?jk=ce97cc7e1904d7ff
[AI/Lab] AI 데이터 분석 엔지니어(마케팅 분야),버즈니,서울,https://kr.indeed.com/viewjob?jk=71703965b745ee4a
